Unnamed: 0,features,labels
0,0.5809908702,4.095427654
1,0.007004408593,0.1930877257
2,0.7663130099,3.382089761
3,-0.4717023437,-3.954739266
4,0.03907767285,-0.8886830463
5,-0.06963063624,-1.432606146
6,-0.7327870613,-4.463031445
7,1.492877924,7.502917651
8,-0.1993467221,-1.81760846
9,-1.88259075,-11.09556615
10,0.4082425936,1.688809887
11,0.3758022461,1.412758386
12,0.6552220112,2.228083209
13,0.8653099883,3.515652973
14,0.1176502453,-1.571089447
15,0.2766229089,-1.103274856
16,0.6454182095,1.637594845
17,0.6465075753,4.064657624
18,-0.6877594602,-5.623011018
19,0.2952258688,0.3290508119
20,0.4653552903,2.689254331
21,-1.086937866,-6.303705971
22,-2.144539118,-11.8221275
23,-0.6162226855,-2.519665778
24,-0.7611669327,-6.322075477
25,0.1381657961,0.4194426724
26,0.5133596754,1.390293676
27,-0.7574503574,-3.985885589
28,-0.39102048,-1.312288781
29,-0.02556868325,-0.275468846
30,-1.071496089,-7.445246706
31,-0.3264928782,-3.41565749
32,-1.163444205,-7.306809123
33,-0.2016322969,-2.212143899
34,2.750720301,13.33660825
35,0.8318095761,4.678162783
36,-0.7662266695,-7.069635128
37,-0.5152594717,-3.208338993
38,-0.7385470262,-5.377506053
39,0.1922284817,-0.3058550027
40,-1.28032136,-9.151811037
41,0.7825133089,3.260455708
42,1.350827345,5.40883584
43,-0.5291656206,-5.277830248
44,-0.9162036515,-6.775858818
45,0.7547787159,1.724436436
46,1.183343249,4.144051132
47,-0.4781060967,-4.056068909
48,-0.1519244889,-0.7757016377
49,-1.170605212,-7.165880905
50,-0.6954311805,-6.840012172
51,-1.211227176,-9.663498931
52,0.6692674379,3.041575567
53,0.6634749368,2.934698641
54,-0.6989738176,-4.654900331
55,1.275092288,6.233034048
56,-2.218922397,-11.38663817
57,-1.560065899,-8.700561268
58,0.3801591222,1.541122742
59,-0.717248444,-4.102695326
60,-0.03697210041,-0.9220008325
61,0.02961434899,-1.020380044
62,1.381820407,5.999254526
63,-0.7418138165,-5.172844494
64,-0.3872690604,-3.669831985
65,-0.3372646357,-2.762760289
66,0.2766186698,-0.03659876811
67,0.8666165237,5.064692364
68,-0.177946256,-1.832480474
69,0.2933319179,0.4103016715
70,-1.262804577,-7.081774738
71,0.3378697403,-0.09965313252
72,-0.9743672066,-6.945365459
73,-0.5515937448,-4.912305487
74,-0.7728255408,-3.972551251
75,-0.1324312635,-1.723119011
76,1.555581502,7.498260464
77,0.8875078564,3.281045654
78,1.552380877,9.365836947
79,-0.8164012463,-2.823385354
80,0.05458310762,-0.9469566417
81,-0.1886353912,-1.86872018
82,2.381690349,10.63216898
83,1.773267543,7.44814354
84,-0.04476915756,0.1981774141
85,-0.03097752379,-2.482192103
86,-0.9039814232,-6.3363514
87,0.702816972,3.414180918
88,0.5443177352,2.951981612
89,0.2347766029,-0.1419154666
90,0.0831423185,-0.01337441334
91,0.1755474056,0.483256123
92,-1.502637111,-8.95587919
93,1.259429876,4.180490353
94,0.7136442263,2.020397513
95,0.9561876346,3.216624214
96,-0.2328044381,-2.778617825
97,-1.021199652,-5.002945154
98,-0.1038095253,-1.053782874
99,-1.038543474,-8.128887791
100,-0.433334745,-2.187536858
101,1.182251165,6.835357255
102,0.9148890007,2.875421912
103,-0.4709343832,-1.706777889
104,0.1667410043,-0.5002755338
105,-0.8975416596,-4.314958795
106,0.2561388607,1.292511013
107,-0.9096745067,-5.390658783
108,0.4488707662,2.942048215
109,0.6201997964,1.457057634
110,1.111223762,5.227933601
111,0.2046148794,0.5488631596
112,0.6451999749,2.056792193
113,-0.3971884658,-1.8665534
114,0.2944663263,1.78699408
115,-0.7867773218,-3.132738886
116,0.4030539966,0.7146988665
117,-0.2221772159,-1.97462931
118,0.02903333593,-2.128372995
119,0.1904930575,0.682411004
120,-2.588682286,-14.70398639
121,0.07892163829,-2.093531024
122,-0.8855499839,-5.919332461
123,-0.1588924348,-1.840945318
124,-1.364578397,-9.93885574
125,0.3476417269,1.133950598
126,2.832582423,12.35152626
127,-1.650455043,-11.1799169
128,0.760953136,3.029684844
129,-2.302247558,-12.1241682
130,0.7749490477,2.919883378
131,-0.0516890029,1.011941849
132,0.7921291836,3.571710817
133,0.6828706777,0.7906298276
134,-1.165823989,-6.271455639
135,-0.6346836914,-4.342330899
136,-0.6642939103,-2.114389425
137,1.778292787,7.618309004
138,-1.320212186,-9.090395917
139,1.268757625,5.532660513
140,-2.052519544,-12.23034909
141,-0.8613055394,-5.025873955
142,1.225028976,5.983974114
143,0.6228234472,2.480588814
144,-1.182306516,-8.312758105
145,-0.6001302002,-4.528519795
146,-0.2721236738,-1.810215256
147,1.876001559,7.184026575
148,1.515766876,6.101466759
149,-1.920938999,-12.52098482
150,0.7945266319,2.120416359
151,0.3910529332,0.9880112768
152,0.5743694597,2.164472538
153,0.1035137913,0.2807965671
154,0.6165936834,1.525616012
155,0.9418624254,4.624238607
156,0.07776774091,1.363179983
157,1.708189964,8.012622924
158,0.1407018618,-1.862197588
159,1.142500177,5.005279249
160,-0.6012760674,-3.16076184
161,0.6335539656,3.078408449
162,0.3996458824,1.477494925
163,0.7768100724,2.960560135
164,-0.327155156,-2.595809922
165,0.01364884091,-1.308949731
166,-0.08610932697,-2.13928585
167,-1.459723651,-10.36211687
168,0.611170034,2.284856712
169,-0.7183750021,-3.771855292
170,0.1457880051,-0.9795632577
171,0.1334831555,-1.286315531
172,-0.4500091113,-3.103893459
173,-0.7697232963,-5.42194993
174,1.580733284,5.430745039
175,0.914283894,2.52422144
176,-0.5267966081,-4.4913234
177,-1.549466444,-8.985780948
178,0.5554028105,1.740502575
179,0.5168264721,1.404058207
180,-0.2995066235,-4.55631336
181,-0.367331824,0.07863286433
182,0.3501933822,-1.125555058
183,-0.1690570076,-3.488088716
184,-2.304685502,-12.35580872
185,0.6604426305,3.168120915
186,-0.2309327907,-1.10580693
187,1.646117249,7.634545022
188,-0.8398958416,-5.079197973
189,0.910807816,3.029798756
190,0.4718535771,0.1966266864
191,-0.1944379818,-1.524080931
192,1.461406767,7.368730111
193,-0.06601756972,0.5852164004
194,0.07689838052,-0.2462179812
195,1.216305952,6.011301833
196,-0.1557497789,-3.863446898
197,-0.9305597849,-4.372996492
198,-0.2860608402,-2.070590025
199,-0.967932614,-5.985759061
